"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00026435","1937-05",,,"0",,,,,"1","17","1","1","0","-2",,,,"70",,"640",,,"43.4","55.6","31.1",,,,,,,
"USW00026435","1937-06",,,"58","5","4",,"0","0","0","0","23","4","37",,"0.0","1.54","94",,"124","2.79","0.0","62.8","77.1","48.6",,,,,,,
"USW00026435","1937-07",,,"9","3","2",,"0","0","0","0","26","0","41",,"0.0","0.70","88","144","144","1.00","0.0","60.6","74.9","46.2",,,,,,,
"USW00026435","1937-08",,,"0",,,,"0","0","4","0","6","0","29",,"0.0",,"75","555","411",,"0.0","51.8","62.5","41.0",,,,,,,
"USW00026435","1937-09",,,"0",,,,"0","0","9","0","7","0","20",,"0.0",,"76","990","436",,"0.0","50.5","63.7","37.3",,,,,,,
"USW00026435","1937-10",,,,,,,,"0","25",,,,"2",,,,,,,,,,,"21.6",,,,,,,
"USW00026435","1937-11",,,"0","4","3",,"4","13","30","28","0","0","-12",,"3.0","0.15","42",,"1590","0.48","8.0","12.0","20.1","3.9",,,,,,,
"USW00026435","1937-12",,,"0","1","0",,"0","25","29","30","0","0","-46",,"0.5","0.04","28",,"1909","0.04","0.5","-4.0","6.0","-13.9",,,,,,,
"USW00026435","1938-01",,,,,,,,,,"29","0","0",,,,,"32",,,,,,"-2.4",,,,,,,,
"USW00026435","1938-02",,,"0","5","5",,"5","28","28","28","0","0","-47",,"4.0","0.20","20",,"2013","0.63","13.0","-6.9","3.0","-16.8",,,,,,,
"USW00026435","1938-03",,,"0",,,,,"25","29","25","0","0","-30",,,,"42",,"1645",,,"7.7","20.6","-5.1",,,,,,,
"USW00026435","1938-04",,,"0","1","1",,"1","0","27","4","0","0","6",,"3.0","0.30","58",,"978","0.30","3.0","31.3","42.2","20.4",,,,,,,
"USW00026435","1938-05",,,"0",,,,,"0","15","0","2","0","25",,,,"70",,"564",,,"45.7","56.4","35.1",,,,,,,
"USW00026435","1938-06",,,"13",,,,"0","0","0","0","17","0","37",,"0.0",,"86",,"221",,"0.0","58.0","70.9","45.2",,,,,,,
"USW00026435","1938-07",,,"18","3","3",,"0","0","1","0","24","0","32",,"0.0","0.59","86","140","140","1.35","0.0","60.6","75.2","46.1",,,,,,,
"USW00026435","1938-08",,,"0","19","7",,"0","0","0","0","10","0","36",,"0.0","0.50","82","396","256","2.51","0.0","56.0","65.5","46.6",,,,,,,
"USW00026435","1938-10",,,"0","2","0",,"0","0","20","3","0","0","2",,"0.2","0.02","62",,"795","0.04","0.4","37.4","45.5","29.2",,,,,,,
"USW00026435","1938-11",,,"0",,,,,"12","27","27","0","0","-28",,,,"34",,"1489",,,"10.6","18.5","2.7",,,,,,,
"USW00026435","1938-12",,,"0",,,,,"26","30","28","0","0","-31",,,,"36",,"1923",,,"0.7","10.8","-9.4",,,,,,,
"USW00026435","1939-01",,"0","0",,,,,"30","31","30","0","0","-45",,,,"14",,"2244",,,"-9.6","-1.2","-18.0",,,,,,,
"USW00026435","1939-02",,"0","0",,,,,"17","27","22","0","0","-50",,,,"38",,"1691",,,"-0.2","9.9","-10.4",,,,,,,
"USW00026435","1939-03",,"0","0",,,,,"15","29","26","0","0","-22",,,,"54",,"1571",,,"8.3","17.8","-1.2",,,,,,,
"USW00026435","1939-04",,"0","0","0","0",,"0","5","30","4","0","0","-20",,"0.0","0.00","52",,"1016","0.00","0.0","31.1","41.9","20.4",,,,,,,
"USW00026435","1939-05",,"0","0",,,,,"0","10","0","6","0","20",,,,"72",,"505",,,"47.6","60.0","35.1",,,,,,,
"USW00026435","1939-06",,"0","0","4","2",,"0","0","0","0","23","0","35",,"0.0","0.25","82",,"235","0.52","0.0","57.2","72.7","41.6",,,,,,,
"USW00026435","1939-07",,"20","20","6","2",,,"0","0","0","22","0","42",,,"0.30","87","107","107","0.74",,"62.1","74.2","49.9",,,,,,,
"USW00026435","1939-08",,"20","0","7","2",,,"0","0","0","8","0","34",,,"0.55","75","415","308","0.86",,"55.1","65.4","44.8",,,,,,,
"USW00026435","1939-09",,"20","0","5","1",,"0","0","10","0","0","0","11",,"0.0","0.30","59","1038","623","0.51","0.0","43.3","52.1","34.4",,,,,,,
"USW00026435","1939-10",,"20","0","10","0",,"2","4","31","21","0","0","-6",,"1.0","0.08","51","2396","1358","0.29","4.2","21.2","29.9","12.5",,,,,,,
"USW00026435","1939-11",,"20","0",,,,"2","27","30","30","0","0","-45",,"4.5",,"26","4453","2057",,"7.1","-3.6","6.1","-13.2",,,,,,,
"USW00026435","1939-12",,"20","0",,,,,"23","31","28","0","0","-38",,,,"45","6439","1987",,,"0.9","11.7","-9.9",,,,,,,
"USW00026435","1940-01",,"0","0","10","2",,"9","24","30","29","0","0","-43",,"12.0","0.80","40","8329","1889","1.25","29.4","1.9","13.0","-9.1",,,,,,,
"USW00026435","1940-02",,"0","0","2","1",,"1","24","29","28","0","0","-28",,"1.0","0.10","40","10256","1927","0.15","1.8","-1.5","8.6","-11.6",,,,,,,
"USW00026435","1940-03",,"0","0","0","0",,"0","17","31","22","0","0","-32",,"0.0","0.00","47","11883","1626","0.00","0.0","10.7","23.3","-2.0",,,,,,,
"USW00026435","1940-04",,"0","0","0","0",,"0","0","22","0","0","0","18",,"0.0","0.00","68","12566","683","0.00","0.0","42.2","56.3","28.2",,,,,,,
"USW00026435","1940-05",,"2","2","1","1",,"0","0","10","0","5","0","30",,"0.0","0.12","75","13000","434","0.12","0.0","51.1","61.6","40.5",,,,,,,
"USW00026435","1940-06",,"39","37","2","2",,"0","0","0","0","24","0","39",,"0.0","1.75","85","13107","107","2.00","0.0","62.7","73.4","51.9",,,,,,,
"USW00026435","1940-07",,"90","51","1","1",,"0","0","0","0","28","5","40",,"0.0","0.30","93","101","101","0.30","0.0","63.4","79.9","46.9",,,,,,,
"USW00026435","1940-08",,"92","2",,,,"0","0","0","0","26","0","35",,"0.0",,"81","298","197",,"0.0","58.7","73.6","43.9",,,,,,,
"USW00026435","1940-09",,"93","0","4","4",,"0","0","9","0","2","0","17",,"0.0","0.70","79","828","530","1.69","0.0","46.7","57.6","35.7",,,,,,,
"USW00026435","1940-10",,"93","0",,,,,"0","29","9","0","0","6",,,,"55","1934","1106",,,"29.3","38.2","20.5",,,,,,,
"USW00026435","1940-11",,"93","0","1","0",,"1","11","29","29","0","0","-20",,"1.0","0.05","32","3435","1501","0.05","1.0","11.0","20.0","2.1",,,,,,,
"USW00026435","1940-12",,"93","0","1","0",,"1","25","31","28","0","0","-40",,"1.0","0.03","50","5571","2136","0.03","1.0","-3.9","5.6","-13.4",,,,,,,
"USW00026435","1941-01",,"0","0","0","0",,,"31","31","28","0","0","-45",,,"0.00","20","7748","2177","0.00",,"-13.2","-4.9","-21.5",,,,,,,
"USW00026435","1941-02",,"0","0","1","0",,"1","13","27","25","0","0","-22",,"1.0","0.09","40","9187","1439","0.09","1.0","9.2","18.8","-0.3",,,,,,,
"USW00026435","1941-03",,"0","0","1","1",,"1","13","31","27","0","0","-12",,"4.0","0.10","38","10887","1700","0.10","4.0","10.2","17.8","2.6",,,,,,,
"USW00026435","1941-04",,"0","0","2","2",,"2","0","28","8","0","0","4",,"10.0","0.80","50","11897","1009","1.10","14.0","30.2","40.0","20.4",,,,,,,
"USW00026435","1941-05",,"0","0",,,,"0","0","4","0","2","0","32",,"0.0",,"76","12395","498",,"0.0","47.6","58.7","36.4",,,,,,,
"USW00026435","1941-06",,,,"1","1",,"0",,,,,,,,"0.0","0.45",,,,"0.45","0.0",,,,,,,,,,
"USW00026435","1941-07",,,"8","8","3",,"0","0","0","0","21","0","40",,"0.0","0.31","80","158","158","0.81","0.0","60.2","70.6","49.8",,,,,,,
"USW00026435","1941-08",,,"9","4","2",,"0","0","0","0","22","0","47",,"0.0","0.10","80","273","115","0.36","0.0","61.6","71.0","52.1",,,,,,,
"USW00026435","1941-09",,,"0","2","1",,"0","0","12","0","3","0","20",,"0.0","0.60","79","851","578","0.61","0.0","45.7","55.8","35.7",,,,,,,
"USW00026435","1941-10",,,"0",,,,"3","9","25","18","0","0","-8",,"6.0",,"55","2087","1235",,"14.0","22.5","32.7","12.3",,,,,,,
"USW00026435","1941-11",,,"0","6","3",,"4","20","28","26","0","0","-39",,"5.5","0.50","35","3629","1542","1.10","11.9","2.3","10.1","-5.4",,,,,,,
"USW00026435","1941-12",,,,"3","0",,"0",,,"29","0","0",,,"0.2","0.01","30",,,"0.04","0.6",,"1.2",,,,,,,,
"USW00026435","1942-01",,,,"3","0",,"1","13","27",,,,"-28",,"1.0","0.08",,,,"0.13","2.0",,,"0.8",,,,,,,
"USW00026435","1942-02",,,"0","5","1",,"2","9","26","26","0","0","-14",,"1.5","0.15","36",,"1303","0.32","3.6","12.4","16.2","8.6",,,,,,,
"USW00026435","1942-03",,,"0","2","1",,"1","24","31","27","0","0","-34",,"4.0","0.24","35",,"1759","0.25","4.2","6.1","18.4","-6.2",,,,,,,
"USW00026435","1942-04",,,"0",,,,,"0","29","1","0","0","2",,,,"59",,"964",,,"32.9","43.7","22.0",,,,,,,
"USW00026435","1942-05",,,"0","3","2",,"0","0","3","0","9","0","27",,"0.0","0.16","80",,"374","0.33","0.0","52.6","64.3","41.0",,,,,,,
"USW00026435","1942-06",,,"12","5","3",,"0","0","0","0","21","0","33",,"0.0","0.43","88",,"170","0.95","0.0","59.7","73.2","46.3",,,,,,,
"USW00026435","1942-07",,,"5","10","8",,"0","0","0","0","20","0","39",,"0.0","1.95","80","162","162","3.22","0.0","59.9","71.5","48.4",,,,,,,
"USW00026435","1942-08",,,"3","13","11",,"0","0","0","0","12","0","42",,"0.0","0.77","79","411","249","3.74","0.0","57.1","66.3","47.8",,,,,,,
"USW00026435","1942-09",,,"0","7","7",,,"0","9","0","2","0","28",,,"0.76","74","906","495","3.26",,"48.5","58.1","38.9",,,,,,,
"USW00026435","1942-10",,,"0","7","5",,"6","0","28","15","0","0","2",,"3.0","0.25","58","2031","1125","1.04","13.0","27.7","34.7","20.7",,,,,,,
"USW00026435","1942-11",,,,,,,,,,"28","0","0",,,,,"25",,,,,,"5.4",,,,,,,,
"USW00026435","1942-12",,,,,,,"0","29","29",,,,"-54",,"0.9",,,,,,"0.9",,,"-27.4",,,,,,,
"USW00026435","1943-01",,,,,,,"1",,,"30","0","0",,,"1.5",,"18",,,,"1.9",,"-7.2",,,,,,,,
"USW00026435","1943-02",,,,"2","0",,,"12","24","13","0","0","-52",,,"0.04","54",,,"0.08",,"12.1","22.4","1.7",,,,,,,
"USW00026435","1943-03",,,"0","2","2",,"2","11","26","17","0","0","-22",,"8.0","0.76","44",,"1365","1.08","12.3","13.1","22.4","3.8",,,,,,,
"USW00026435","1943-04",,,"0","1","1",,"1","6","27","7","0","0","-22",,"2.0","0.15","62",,"1059","0.15","2.0","29.7","40.7","18.6",,,,,,,
"USW00026435","1943-05",,,"0",,,,,"0","8","0","1","0","26",,,,"70",,"558",,,"46.4","58.2","34.6",,,,,,,
"USW00026435","1943-06",,,,"1","1",,,,,"0","29","0",,,,"0.31","84",,,"0.31",,,"76.1",,,,,,,,
"USW00026435","1944-01",,"0","0","5","0","31","5","28","31","30","0","0","-52","9","2.0","0.08","37",,"2191","0.19","5.9","-5.7","8.5","-19.9",,,,,,,
"USW00026435","1944-03",,,,"12","2","31","9",,,"24","0","0",,"35","6.0","0.40","39",,,"0.91","24.4",,"20.2",,,,,,,,
"USW00026435","1944-04",,,,"0","0","30","0",,,"11","0","0",,"32","0.0","0.00","56",,,"0.00","0.0",,"37.8",,,,,,,,
"USW00026435","1944-05",,,,,,,"0","0","1","0","0","0","32",,"0.0",,"68",,,,"0.0","49.4","60.3","38.5",,,,,,,
"USW00026435","1944-06",,,"15","7","4",,"0","0","0","0","21","0","40",,"0.0","0.34","82",,"99","1.16","0.0","61.7","72.1","51.2",,,,,,,
"USW00026435","1944-07",,,"19","9","4",,"0","0","0","0","27","0","46",,"0.0","0.24","83","81","81","0.94","0.0","63.0","74.1","51.9",,,,,,,
"USW00026435","1944-08",,,"0","18","8",,"0","0","0","0","5","0","33",,"0.0","0.80","74","379","298","3.13","0.0","55.1","64.9","45.2",,,,,,,
"USW00026435","1944-09",,,"0","11","7",,"0","0","10","0","0","0","17",,"0.0","0.45","67","986","607","1.59","0.0","44.2","53.1","35.3",,,,,,,
"USW00026435","1944-10",,,"0","5","2",,"2","0","28","6","0","0","2",,"1.0","0.37","53","2017","1031","0.70","2.0","30.7","38.3","23.1",,,,,,,
"USW00026435","1944-11",,,"0","4","1","30","3","20","29","29","0","0","-25","6","3.0","0.10","36","3742","1725","0.19","6.5","5.3","13.8","-3.2",,,,,,,
"USW00026435","1944-12",,,,"3","0","31","3","18","28",,,,"-51","11","3.0","0.09",,,,"0.20","8.0",,,"-9.5",,,,,,,
"USW00026435","1945-01",,,,"3","0","31","3","18","26","23","0","0","-20","3","1.0","0.08","40",,,"0.16","3.0","6.7","14.6","-1.2",,,,,,,
"USW00026435","1945-02",,,"0","6","0","28","6","11","27","19","0","0","-47","6","1.0","0.09","49",,"1344","0.30","5.9","10.1","19.6","0.7",,,,,,,
"USW00026435","1945-03",,,"0","7","2","30","4","19","31","23","0","0","-35","14","5.0","0.24","37",,"1658","0.54","10.0","8.4","20.4","-3.7",,,,,,,
"USW00026435","1945-04",,,"0","4","0","30","0","6","27","9","0","0","-27","11","0.0","0.08","47",,"1192","0.16","0.0","23.6","34.7","12.6",,,,,,,
"USW00026435","1945-05",,,"0","9","3",,"2","1","16","3","5","0","-2",,"2.0","0.52","73",,"691","0.94","4.0","42.7","54.6","30.8",,,,,,,
"USW00026435","1945-06",,,"0",,,,"0","0","0","0","9","0","36",,"0.0",,"71",,"299",,"0.0","54.5","66.9","42.1",,,,,,,
"USW00026435","1945-07",,,"1","13","7",,"0","0","0","0","19","0","40",,"0.0","0.70","80","177","177","2.32","0.0","59.0","70.4","47.6",,,,,,,
"USW00026435","1945-08",,,"0","19","14",,,"0","0","0","3","0","38",,,"1.59","73","504","328","7.57",,"54.4","62.7","46.2",,,,,,,
"USW00026435","1945-09",,,"0","13","6",,,"0","13","0","0","0","25",,,"0.76","62","1172","667","2.41",,"42.8","51.4","34.2",,,,,,,
"USW00026435","1945-10",,,"0","14","5",,,"4","29","16","0","0","-8",,,"0.22","51","2410","1238","1.40",,"25.1","33.1","17.0",,,,,,,
"USW00026435","1945-11",,,"0","13","3","30","2","25","30","30","0","0","-41","15","1.2","0.21","32","4491","2081","0.72","6.5","-4.4","3.1","-11.8",,,,,,,
"USW00026435","1945-12",,,"0","6","1","31","1","26","31","30","0","0","-40","17","1.1","0.11","27","6576","2085","0.23","2.4","-4.7","4.9","-14.4",,,,,,,
"USW00026435","1946-01",,"0","0","9","2","31","3","27","31","31","0","0","-40","22","1.2","0.15","22","8649","2073","0.54","5.5","-1.9","8.5","-12.2",,,,,,,
"USW00026435","1946-02",,"0","0","11","1","28","2","21","28","28","0","0","-37","26","1.3","0.13","29","10495","1846","0.42","4.3","-0.9","8.9","-10.8",,,,,,,
"USW00026435","1946-03",,"0","0","8","1","31","1","26","30","30","0","0","-44","29","1.0","0.10","40","12502","2007","0.34","3.7","-1.7","12.9","-16.3",,,,,,,
"USW00026435","1946-04",,"0","0","5","0","30","1","7","30","15","0","0","-19","32","1.5","0.06","54","13738","1236","0.18","3.2","23.8","35.4","12.2",,,,,,,
"USW00026435","1946-05",,"0","0","7","3",,,"0","8","0","1","0","25",,,"0.26","74","14316","578","0.79",,"46.4","58.0","34.7",,,,,,,
"USW00026435","1946-06",,"6","6","10","1",,"0","0","0","0","21","0","41",,"0.0","0.17","83","14456","140","0.56","0.0","60.4","73.0","47.9",,,,,,,
"USW00026435","1946-07",,"29","23","6","4",,"0","0","0","0","23","0","38",,"0.0","0.19","88","125","125","0.69","0.0","61.7","74.8","48.6",,,,,,,
"USW00026435","1946-08",,"30","1","14","9",,"0","0","4","0","8","0","29",,"0.0","0.49","80","496","371","2.35","0.0","53.1","63.9","42.2",,,,,,,
"USW00026435","1946-09",,"30","0","11","4",,"0","0","14","0","0","0","11",,"0.0","0.32","67","1230","733","1.08","0.0","40.5","50.1","31.0",,,,,,,
"USW00026435","1946-10",,"30","0","12","5",,"6","0","29","6","0","0","5",,"6.0","0.68","51","2325","1095","1.41","15.0","29.7","38.8","20.6",,,,,,,
"USW00026435","1946-11",,"30","0","7","0","30","3","26","30","30","0","0","-37","13","2.5","0.08","27","4391","2066","0.33","6.5","-3.9","7.2","-14.9",,,,,,,
"USW00026435","1946-12",,"30","0","7","1","28","2","30","30","30","0","0","-63","20","1.6","0.12","25","7045","2654","0.26","4.8","-23.5","-15.0","-32.0",,,,,,,
"USW00026435","1947-01",,"0","0","9","2","27","5","24","28","29","0","0","-66","29","3.1","0.19","28","9449","2404","0.57","9.5","-25.3","-14.9","-35.6",,,,,,,
"USW00026435","1947-02",,"0","0","3","0","28","0","19","27","25","0","0","-63","29","0.2","0.04","42","11117","1668","0.07","0.5","-0.1","10.6","-10.7",,,,,,,
"USW00026435","1947-03",,"0","0","6","0","31","0","16","30","23","0","0","-35","25","0.3","0.03","50","12761","1644","0.12","0.9","12.0","24.0","-0.1",,,,,,,
"USW00026435","1947-04",,"0","0","3","1","28","1","2","29","6","0","0","-16","18","3.6","1.06","48","13759","998","1.18","3.6","28.6","38.4","18.8",,,,,,,
"USW00026435","1947-05",,"1","1","4","1",,"0","0","10","0","4","0","18",,"0.0","0.26","88","14302","543","0.33","0.0","47.5","59.3","35.7",,,,,,,
"USW00026435","1947-06",,"1","0","8","3",,,"0","1","0","14","0","30",,,"0.36","79","14631","329","0.75",,"54.0","66.6","41.5",,,,,,,
"USW00026435","1947-07",,"10","9","4","3",,,"0","0","0","23","0","37",,,"0.40","86","159","159","0.72",,"60.2","72.7","47.6",,,,,,,
"USW00026435","1947-08",,"10","0","16","5",,,"0","6","0","3","0","23",,,"0.42","72","647","488","1.68",,"49.3","60.2","38.4",,,,,,,
"USW00026435","1947-09",,"10","0","15","7",,"1","0","16","1","0","0","10",,"3.8","0.48","61","1365","718","2.31","4.3","39.4","49.2","29.6",,,,,,,
"USW00026435","1947-10",,"10","0","6","1","25","1","3","31","24","0","0","-2","4","1.5","0.10","41","2730","1365","0.19","3.9","21.0","28.2","13.7",,,,,,,
"USW00026435","1947-11",,"10","0","8","1","30","2","12","28","24","0","0","-25","7","1.7","0.13","39","4209","1479","0.33","5.7","8.7","16.2","1.1",,,,,,,
"USW00026435","1947-12",,"10","0","6","0","31",,"22","31","31","0","0","-25","5",,"0.04","26","6130","1921","0.11",,"3.0","11.7","-5.7",,,,,,,
"USW00026435","1948-01",,"0","0","11","2","31","3","23","31","30","0","0","-39","14","2.7","0.24","39","8317","2187","0.71","9.2","-5.5","4.3","-15.4",,,,,,,
"USW00026435","1948-02",,"0","0","6","1","29","3","24","29","29","0","0","-46","19","2.2","0.14","28","10483","2166","0.42","6.5","-9.7","3.0","-22.4",,,,,,,
"USW00026435","1948-03",,"0","0","6","0","31","2","25","31","28","0","0","-42","21","2.0","0.09","38","12429","1946","0.26","4.5","0.5","14.5","-13.5",,,,,,,
"USW00026435","1948-04",,"0","0","16","5","30","7","10","30","16","0","0","-22","28","5.6","0.45","40","13787","1358","1.56","20.2","19.7","29.4","10.1",,,,,,,
"USW00026435","1948-05",,"0","0","4","3","12","0","0","14","3","0","0","9","4","0.5","0.70","66","14486","699","1.62","0.5","42.5","53.6","31.3",,,,,,,
"USW00026435","1948-06",,"13","13","11","6",,"0","0","0","0","12","0","38",,"0.0","0.56","87","14726","240","1.51","0.0","57.4","66.9","47.9",,,,,,,
"USW00026435","1948-07",,"13","0","13","4",,"0","0","0","0","13","0","42",,"0.0","2.16","80","270","270","3.21","0.0","56.3","65.7","46.9",,,,,,,
"USW00026435","1948-08",,"13","0","16","6",,"0","0","3","0","3","0","30",,"0.0","0.52","72","755","485","2.50","0.0","49.4","57.4","41.3",,,,,,,
"USW00026435","1948-09",,"13","0","5","1",,"2","0","21","3","0","0","15",,"2.5","0.12","60","1543","788","0.27","4.6","38.7","47.8","29.6",,,,,,,
"USW00026435","1948-10",,"13","0","8","0","13","1","2","31","18","0","0","-1","3","1.5","0.08","48","2882","1339","0.24","2.2","21.8","28.8","14.8",,,,,,,
"USW00026435","1948-11",,"13","0","6","1","30","2","18","30","27","0","0","-46","6","1.9","0.16","40","5008","2125","0.37","4.8","-5.9","0.9","-12.6",,,,,,,
"USW00026435","1948-12",,"13","0","11","3","31","7","26","29","29","0","0","-46","19","3.9","0.20","20","7243","2235","0.92","17.0","-16.9","-8.4","-25.3",,,,,,,
"USW00026435","1949-01",,"0","0","14","1","31","5","24","31","31","0","0","-42","23","2.5","0.22","28","9456","2212","0.80","10.9","-6.4","1.9","-14.6",,,,,,,
"USW00026435","1949-02",,"0","0","8","2","28","5","24","27","27","0","0","-50","42","5.7","0.31","22","11345","1889","0.78","16.8","-7.9","3.3","-19.1",,,,,,,
"USW00026435","1949-03",,"0","0","5","1","31","2","13","31","15","0","0","-18","40","2.3","0.12","45","12778","1433","0.26","5.0","18.8","31.3","6.2",,,,,,,
"USW00026435","1949-04",,"0","0","2","0","30","0","10","30","19","0","0","-27","24","0.6","0.02","50","14177","1399","0.03","1.6","18.4","31.8","5.0",,,,,,,
"USW00026435","1949-05",,"0","0","8","2","15","0","0","12","1","0","0","12","11","0.2","0.19","69","14887","709","0.54","0.2","42.1","52.4","31.8",,,,,,,
"USW00026435","1949-06",,"0","0","15","12","0","0","0","0","0","2","0","35","0","0.0","0.61","72","15314","428","2.85","0.0","50.7","58.9","42.6",,,,,,,
"USW00026435","1949-07",,"6","6","13","6","0","0","0","0","0","18","0","34","0","0.0","0.43","81","187","187","1.48","0.0","59.1","68.7","49.6",,,,,,,
"USW00026435","1949-08",,"6","0","7","7","0","0","0","1","0","10","0","32","0","0.0","1.10","77","506","318","2.83","0.0","54.7","65.6","43.9",,,,,,,
"USW00026435","1949-09",,,,"5","1","0","0",,,,,,,"0","0.0","0.23",,,,"0.35","0.0",,,,,,,,,,
"USW00026435","1949-10",,,,"7","2","23","2",,,,,,,"3","2.5","0.20",,,,"0.67","6.1",,,,,,,,,,
"USW00026435","1949-11",,,,"3","1","30","2",,,,,,,"7","2.9","0.20",,,,"0.25","5.0",,,,,,,,,,
"USW00026435","1949-12",,,,"7","4","31","4",,,,,,,"11","3.0","0.30",,,,"0.98","9.1",,,,,,,,,,
"USW00026435","1950-01",,,,"10","4","31","4",,,,,,,"24","4.3","0.43",,,,"1.86","18.6",,,,,,,,,,
"USW00026435","1950-02",,,,"3","0","28","0",,,,,,,"25","0.6","0.06",,,,"0.11","1.1",,,,,,,,,,
"USW00026435","1950-03",,,"0","3","0","31","0","12","31","24","0","0","-18","20","0.4","0.04","38",,"1469","0.06","0.6","17.6","28.8","6.4",,,,,,,
"USW00026435","1950-04",,,"0","1","1","30","0","4","28","8","0","0","-21","21","0.1","0.10","54",,"1145","0.10","0.1","26.8","38.9","14.7",,,,,,,
"USW00026435","1950-05",,,"0","8","1","2","0","0","10","0","1","0","30","2","0.1","0.12","72",,"577","0.35","0.1","46.4","58.2","34.6",,,,,,,
"USW00026435","1950-06",,,"3","9","5","0","0","0","3","0","12","0","29","0","0.0","0.48","82",,"270","1.26","0.0","56.1","68.6","43.6",,,,,,,
"USW00026435","1950-07",,,"4","12","7","0","0","0","0","0","21","0","39","0","0.0","0.70","85","161","161","2.10","0.0","59.9","72.6","47.3",,,,,,,
"USW00026435","1950-08",,,"2","6","4","0","0","0","2","0","16","0","30","0","0.0","0.46","81","427","266","1.21","0.0","56.5","70.5","42.5",,,,,,,
"USW00026435","1950-09",,,"0","4","1","0","0","0","17","0","0","0","19","0","0.0","0.34","69","1034","607","0.40","0.0","44.8","57.3","32.2",,,,,,,
"USW00026435","1950-10",,,"0","14","0","22","1","2","31","16","0","0","-10","5","2.0","0.06","58","2293","1259","0.30","5.2","24.4","32.3","16.5",,,,,,,
"USW00026435","1950-11",,,"0","7","2","30","3","22","30","30","0","0","-43","9","1.3","0.13","32","4346","2053","0.58","6.1","-3.4","7.0","-13.9",,,,,,,
"USW00026435","1950-12",,,"0","12","1","31","3","25","31","31","0","0","-32","16","1.3","0.12","28","6541","2195","0.47","6.0","-5.8","4.5","-16.2",,,,,,,
"USW00026435","1951-01",,"0","0","9","2","29","3","28","30","31","0","0","-57","26","4.7","0.27","12","9092","2551","0.71","9.8","-19.7","-12.1","-27.3",,,,,,,
"USW00026435","1951-02",,"0","0","8","3","28","3","24","28","27","0","0","-43","27","1.5","0.15","39","11070","1978","0.53","6.3","-5.6","6.1","-17.4",,,,,,,
"USW00026435","1951-03",,"0","0","4","0","31","1","25","31","29","0","0","-51","27","1.3","0.09","36","13180","2110","0.21","3.2","-3.1","10.8","-16.9",,,,,,,
"USW00026435","1951-04",,"0","0","1","0","30","0","1","30","3","0","0","-1","15","0.0","0.04","55","14206","1026","0.04","0.0","30.8","41.8","19.8",,,,,,,
"USW00026435","1951-05",,"0","0","1","1","0","0","0","12","0","1","0","27","0","0.0","0.45","78","14762","555","0.45","0.0","47.1","60.7","33.5",,,,,,,
"USW00026435","1951-06",,"2","2","5","3","0","0","0","0","0","13","0","33","0","0.0","0.54","81","15058","296","0.92","0.0","54.9","67.7","42.0",,,,,,,
"USW00026435","1951-07",,"11","8","9","6","0","0","0","0","0","15","0","35","0","0.0","0.38","87","205","205","1.56","0.0","58.7","70.0","47.3",,,,,,,
"USW00026435","1951-08",,"11","0","15","10","0","0","0","0","0","12","0","37","0","0.0","0.85","82","492","288","3.08","0.0","55.7","67.0","44.5",,,,,,,
"USW00026435","1951-09",,"11","0","5","2","0","0","0","11","1","0","0","18","0","0.0","0.21","68","1125","632","0.50","0.0","43.9","53.8","34.1",,,,,,,
"USW00026435","1951-10",,"11","0","6","0","26","0","5","31","23","0","0","-3","2","0.9","0.07","39","2449","1324","0.30","4.0","22.3","29.9","14.7",,,,,,,
"USW00026435","1951-11",,"11","0","16","3","30","3","7","30","28","0","0","-9","14","2.0","0.12","40","3962","1513","0.72","9.4","14.5","19.8","9.3",,,,,,,
"USW00026435","1951-12",,"11","0","14","2","31","3","23","31","29","0","0","-46","19","1.5","0.11","35","6163","2201","0.57","6.3","-6.0","2.2","-14.2",,,,,,,
"USW00026435","1952-01",,"0","0","7","4","31","4","24","31","31","0","0","-58","30","3.4","0.34","26","8623","2460","0.96","9.6","-14.4","-6.7","-22.0",,,,,,,
"USW00026435","1952-02",,"0","0","5","0","29","1","24","28","27","0","0","-37","35","4.5","0.07","36","10479","1856","0.16","5.7","-3.9","6.5","-14.4",,,,,,,
"USW00026435","1952-03",,"0","0","5","0","31","0","19","31","26","0","0","-43","37","0.6","0.06","41","12263","1784","0.17","1.7","5.7","18.1","-6.8",,,,,,,
"USW00026435","1952-04",,"0","0","1","1","30","0","6","29","11","0","0","-19","33","0.0","0.12","55","13457","1194","0.12","0.0","25.2","37.1","13.4",,,,,,,
"USW00026435","1952-05",,"0","0","4","0","13","0","0","16","1","0","0","12","11","0.9","0.09","64","14239","783","0.20","1.7","39.8","49.4","30.1",,,,,,,
"USW00026435","1952-06",,"0","0","9","5","0","0","0","1","0","12","0","32","0","0.0","0.53","81","14506","266","1.57","0.0","56.1","67.8","44.4",,,,,,,
"USW00026435","1952-07",,"3","3","14","8","0","0","0","0","0","11","0","39","0","0.0","0.42","83","228","228","2.18","0.0","57.7","67.8","47.6",,,,,,,
